run,piece,event_index,start_substep,end_substep,duration_substeps,part_ids,start_x,end_x,delta_x,start_y,end_y,delta_y,start_angle,end_angle,delta_angle,start_vx,end_vx,delta_vx,start_vy,end_vy,delta_vy,start_angular_velocity,end_angular_velocity,delta_angular_velocity,solver_delta_angular_velocity,correction_delta_angular_velocity,total_delta_angular_velocity,min_contact_width_px,max_contact_width_px,max_contact_offset_px,max_abs_delta_vx,max_delta_vx_substep,max_delta_vx_width_px,max_delta_vx_offset_px,max_delta_vn,max_delta_vt,max_abs_delta_angular,max_delta_angular_substep,max_abs_delta_vt,sum_abs_delta_vx,change_point_count
1,31,1,240,241,2,2305;2316,195.000,195.067,0.067,481.611,481.622,0.010,0.000000,0.074567,0.074567,0.264885,0.379013,0.114128,1.073260,1.139988,0.066728,0.293542,0.187500,-0.106041,,,,4.063,7.000,10.279,0.264885,240,7.000,6.863,-9.961413,-0.264885,0.293542,240,0.264885,0.379013,2
1,31,2,277,279,3,2352;2356,198.252,198.630,0.378,501.966,501.435,-0.531,1.649958,1.688979,0.039021,0.670407,0.898541,0.228133,-0.683664,-0.537049,0.146616,0.085075,0.059142,-0.025932,,,,5.958,6.978,4.180,0.338071,277,6.978,4.094,-3.963853,-0.338071,0.079334,277,0.338071,0.566204,2
1,31,3,284,480,197,2356;2338;2352;2339,199.762,191.466,-8.296,500.993,503.524,2.531,1.763525,1.316438,-0.447087,0.924451,-0.000000,-0.924451,-0.278605,0.000000,0.278605,0.050168,0.000000,-0.050168,,,,0.950,27.613,24.922,0.174450,383,24.737,4.640,-0.527419,-0.174450,0.040000,383,0.174450,3.960368,12
1,32,1,242,243,2,2365;2366,195.000,194.924,-0.076,483.991,483.250,-0.741,0.000000,-0.058056,-0.058056,-0.299903,-0.470602,-0.170699,0.625996,0.694435,0.068439,-0.228543,-0.175783,0.052760,,,,1.114,2.000,6.001,0.299903,242,2.000,3.359,-10.438992,0.299903,0.228543,242,0.299903,0.470602,2
1,32,2,254,496,243,2364;2371;2376;2388;2359;2360,193.661,154.604,-39.056,486.059,506.334,20.275,-0.529877,-1.756152,-1.226275,-0.624512,0.000025,0.624537,-0.176261,0.000002,0.176263,-0.069802,0.000000,0.069803,,,,0.983,66.287,36.479,0.171195,254,2.231,1.663,-1.525348,0.171195,0.099525,254,0.171195,3.333224,15
1,33,1,245,246,2,2430;2435;2442,195.000,195.089,0.089,490.663,490.597,-0.066,0.000000,0.039904,0.039904,0.373363,0.590601,0.217238,0.607463,0.671943,0.064480,0.166866,0.158029,-0.008837,,,,5.036,18.000,18.141,0.373363,245,18.000,12.437,-10.515917,-0.373363,0.166866,245,0.373363,0.590601,2
1,33,2,262,263,2,2434;2439,197.372,197.606,0.233,495.176,495.042,-0.134,0.650760,0.684253,0.033493,0.918778,1.279150,0.360372,-0.324365,-0.252291,0.072074,0.131848,0.119597,-0.012251,,,,0.632,2.613,2.352,0.360414,262,2.613,2.352,-1.970441,-0.360414,0.017555,262,0.360414,0.720786,2
1,33,3,271,274,4,2485;2483,200.115,201.216,1.101,494.977,493.285,-1.693,0.918868,0.985502,0.066634,1.283954,1.923897,0.639944,-1.502398,-1.918633,-0.416234,0.098371,0.069378,-0.028993,,,,1.590,3.015,26.931,0.297237,274,1.667,25.177,0.078472,-0.297237,0.018113,271,0.297237,0.678044,4
1,33,4,285,512,228,2484;2481;2476;2477;2480;2474;2470;2467;2465;2450;2443;2427,206.380,275.808,69.428,489.125,499.385,10.260,1.171721,3.154474,1.982754,1.865060,1.429839,-0.435221,-1.280655,1.707193,2.987848,0.060918,0.066063,0.005145,,,,0.338,7.000,27.338,0.072967,439,3.524,11.985,0.026725,-0.072967,0.005912,285,0.072967,3.026095,20
1,34,1,241,241,1,2490;2492;2493,195.000,195.000,0.000,485.562,485.562,0.000,0.000000,0.000000,0.000000,0.419841,0.419841,0.000000,0.215026,0.215026,0.000000,0.180941,0.180941,0.000000,,,,18.000,18.000,10.145,0.419841,241,18.000,10.145,-10.861712,-0.419841,0.180941,241,0.419841,0.419841,1
1,34,2,264,267,4,2551;2554,197.306,198.069,0.763,490.919,489.092,-1.827,0.994026,1.092027,0.098001,0.606393,1.614298,1.007905,-1.488609,-1.703469,-0.214860,0.139073,0.103116,-0.035957,,,,0.873,1.714,18.060,0.465209,265,1.714,16.995,-0.351251,-0.465209,0.027501,264,0.465209,1.227793,4
1,34,3,305,504,200,2555;2498;2491,212.348,213.953,1.606,486.161,486.397,0.236,2.004084,2.044677,0.040593,1.574433,-0.005655,-1.580088,0.450838,0.007622,-0.443217,0.084679,0.001143,-0.083535,,,,1.460,38.819,24.191,0.212840,317,38.814,5.708,-1.267532,0.212840,0.038664,317,0.212840,4.670678,10
1,35,1,247,248,2,2565;2569,195.000,194.725,-0.275,503.760,503.362,-0.398,0.000000,-0.015794,-0.015794,-1.080781,-1.088184,-0.007403,-0.041348,0.029643,0.070991,-0.062173,-0.061757,0.000416,,,,5.015,14.000,9.060,1.080781,247,14.000,6.288,-11.300363,1.080781,0.062173,247,1.080781,1.088184,2
1,35,2,258,488,231,2569;2571;2577;2595;2597;2565,192.071,195.435,3.364,504.374,502.964,-1.410,-0.166445,0.026807,0.193252,-1.015755,-0.302164,0.713591,0.126628,0.180817,0.054188,-0.061001,-0.016730,0.044271,,,,0.181,29.392,29.359,0.244007,266,22.123,18.397,-0.744989,-0.244007,0.017312,266,0.244007,2.584459,14
