run,piece,status,frame_count,landing_frame,post_land_frame_count,mass,inertia,com_offset_px,footprint_width_px,contact_points,contact_parts,landing_angle,landing_pre_vx,landing_pre_vy,landing_pre_angular_velocity,landing_vx,landing_vy,landing_angular_velocity,landing_delta_vx,landing_delta_vy,landing_delta_angular_velocity,max_post_land_abs_vx,max_post_land_abs_vy,max_post_land_abs_angular_velocity,post_land_x_range,post_land_y_range,post_land_angle_range,max_bounce_height_px,sleep_frame,final_sleeping,final_ground_contact,physics_parts,triangles,regions,raw_regions,contour_vertices,landing_contact_left_offset_px,landing_contact_right_offset_px,landing_contact_normal_angle_rad,landing_contact_torque_proxy,landing_contact_parts_detail,landing_contact_offsets_xy_px,landing_contact_torque_proxies
1,11,complete,121,60,60,7.92,8547.864,7.191,25,2,1,-0.000904,0,11.01612,0,-0.12791,0,-0.002421,-0.12791,-11.04051,-0.002421,0.12791,0.01701,0.002476,0.24100000000001387,0.04599999999999227,0.007622,0.03899999999998727,120,1,0,78,156,78,80,67,-6.963,9.037,1.570796,1.036931,906;906,-6.963:36.378;9.037:36.364,-6.963066;9.036927
1,12,complete,124,63,60,3.718,2601.283,4.837,6,2,2,0.402304,0.65681,3.24656,0.172162,0.68804,-0.65113,0.029288,0.03123,-3.89769,-0.142875,0.71688,0.67489,0.031425,5.344999999999999,3.6680000000000064,0.19928,2.805999999999983,,0,1,65,130,65,66,71,20.73,22.041,1.570796,21.385567,956;957,22.041:22.964;20.730:23.493,22.041417;20.729716
1,13,complete,122,61,60,4.536,3981.248,4.575,14,4,2,0,0,11.11676,0,-0.09395,0,-0.008822,-0.09395,-11.11751,-0.008822,0.29257,0.12877,0.012677,4.908999999999992,0.44999999999998863,0.201867,0,121,1,0,57,114,57,60,65,-0.109,6.891,1.570796,3.390653,1031;1031;1032;1032,1.891:23.489;-0.109:23.489;6.891:23.489;4.891:23.489,1.890653;-0.109347;6.890653;4.890653
1,14,complete,121,60,60,7.566,7101.376,6.276,25,3,2,0.002138,0,11.03637,0,0.25669,0,0.007806,0.25669,-11.07633,0.007806,0.25669,0.0654,0.007806,2.2419999999999902,0.6790000000000305,0.058348000000000004,0.6790000000000305,120,1,0,71,142,71,80,78,-15.67,6.332,1.570796,-4.669292,1104;1105;1105,6.332:33.944;4.330:34.940;-15.670:34.897,6.331752;4.329619;-15.670335
1,15,complete,121,60,60,5.814,3593.304,4.465,13,1,1,-0.050882,0,11.00932,0,0,2.29056,0,-0.70922,-8.71876,-0.179054,2.04192,2.29056,0.062726,67.30199999999999,10.341000000000008,2.3070209999999998,0,,0,1,55,110,55,55,49,12.671,12.671,1.570796,12.671243,1162,12.671:37.336,12.671243
1,16,complete,122,61,60,3.306,3597.108,6.323,12,2,1,-0.028668,0,11.20315,0,0,0.35402,0,-1.17967,-10.84914,-0.056421,1.16277,0.73066,0.060018,4.927000000000021,2.2479999999999905,0.24499,0,,0,1,49,98,49,49,48,10.414,16.411,1.570796,13.412585,1213;1213,10.414:20.989;16.411:20.817,10.413818;16.411352
1,17,complete,122,61,60,5.48,5629.969,2.731,19,2,1,-0.010544,0,11.11683,0,0,0.21641,0,-1.44242,-10.90042,-0.040921,1.29493,0.5546,0.046768,15.86499999999998,3.9729999999999563,0.552334,3.367999999999995,,0,1,58,116,58,59,60,5.531,10.53,1.570796,8.030398,1273;1273,5.531:26.890;10.530:26.837,5.530537;10.530259
1,18,complete,122,61,60,3.562,630.087,1.933,18,1,1,-0.129831,-0.28353,-0.28267,-0.069026,-0.42571,-0.14152,-0.027302,-0.14218,0.14115,0.041724,0.57145,0.17264,0.027302,7.931999999999988,1.384999999999991,0.203714,0.21500000000003183,,0,1,86,172,86,97,82,-6.283,-6.283,1.570796,-6.282617,1361,-6.283:43.769,-6.282617
1,19,complete,120,59,60,4.006,1049.179,2.425,8,2,1,0,0,10.92079,0,-0.17401,2.26929,0,-0.17401,-8.6515,-0.300405,0.98151,3.67035,0.295835,8.64700000000002,22.543999999999983,1.845487,0,,0,1,72,144,72,73,59,7.332,14.332,1.570796,10.831752,1435;1435,14.332:41.666;7.332:41.666,14.331752;7.331752
1,20,complete,120,59,60,4.246,1052.603,1.069,5,2,1,-0.004998,0,10.9754,0,-0.3103,0,-0.003263,-0.3103,-10.97815,-0.003263,0.78801,0.22501,0.017637,17.58699999999999,1.4049999999999727,0.40494,0.0009999999999763531,,0,1,122,244,122,127,82,-0.431,3.569,1.570796,1.569348,1559;1559,-0.431:42.063;3.569:42.043,-0.430627;3.569323
