run,piece,status,frame_count,landing_frame,post_land_frame_count,mass,inertia,com_offset_px,footprint_width_px,contact_points,contact_parts,landing_angle,landing_pre_vx,landing_pre_vy,landing_pre_angular_velocity,landing_vx,landing_vy,landing_angular_velocity,landing_delta_vx,landing_delta_vy,landing_delta_angular_velocity,max_post_land_abs_vx,max_post_land_abs_vy,max_post_land_abs_angular_velocity,post_land_x_range,post_land_y_range,post_land_angle_range,max_bounce_height_px,sleep_frame,final_sleeping,final_ground_contact,physics_parts,triangles,regions,raw_regions,contour_vertices,landing_contact_left_offset_px,landing_contact_right_offset_px,landing_contact_normal_angle_rad,landing_contact_torque_proxy,landing_contact_parts_detail,landing_contact_offsets_xy_px,landing_contact_torque_proxies,landing_dynamic_body_count,landing_other_dynamic_body_ids
1,31,complete,120,59,60,3.292,592.235,0.868,7,4,2,0,0,10.95496,0,0.23431,0.98623,0,0.23431,-9.96873,0.266524,0.83747,3.218,0.187132,10.681999999999988,21.908999999999992,1.811826,0,,0,1,58,116,58,65,67,-10.363,-3.363,1.570796,-6.863305,2355;2355;2356;2356,-3.363:38.914;-10.363:38.914;-5.363:39.914;-9.363:39.914,-3.363305;-10.363305;-5.363305;-9.363305,1,
1,32,complete,124,63,60,2.092,204.507,2.907,1,1,1,-0.545508,-0.45448,1.28316,-0.166508,-0.74214,-0.04296,-0.016978,-0.28766,-1.32612,0.14953,1.59484,2.53962,0.096482,38.583,20.363999999999976,1.225784,0.03999999999996362,,0,1,65,130,65,69,61,-1.726,-1.726,1.570796,-1.726215,2418,-1.726:35.012,-1.726215,1,
1,33,complete,122,61,60,4.174,3360.447,4.337,18,1,1,0.079571,0,11.11661,0,0,1.65392,0,0.92121,-9.46269,0.097561,1.65174,1.65392,0.061219,25.37100000000001,4.466000000000008,0.944887,0,,0,1,60,120,60,61,58,-16.857,-16.857,1.570796,-16.857401,2485,-16.857:29.782,-16.857401,1,
1,34,complete,120,59,60,5.678,3952.389,3.007,18,2,1,0,0,10.98222,0,0.09924,3.10635,0,0.09924,-7.87587,0.057253,1.16096,3.10635,0.042897,30.781000000000006,7.920999999999992,0.963756,0,,0,1,74,148,74,79,73,-18.145,-16.145,1.570796,-17.145298,2561;2561,-16.145:36.130;-18.145:36.130,-16.145298;-18.145298,1,
1,35,complete,122,61,60,3.648,4219.988,2.161,14,2,1,-0.010433,0,11.20316,0,0,0.05616,0,-0.72523,-11.147,-0.040943,0.71419,0.67141,0.042476,6.1299999999999955,2.600999999999999,0.357983,1.3269999999999982,,0,1,38,76,38,38,48,6.473,11.473,1.570796,8.973249,2601;2601,6.473:17.699;11.473:17.647,6.473385;11.473113,1,
1,36,complete,120,59,60,4.756,2213.019,1.122,5,2,1,0.051973,0,10.99581,0,0.32799,2.61468,0,0.32799,-8.38113,0.128415,1.64145,2.61468,0.082476,22.32000000000002,19.940000000000055,0.8666969999999999,0,,0,1,63,126,63,63,48,-23.074,-20.078,1.570796,-21.576438,2666;2666,-20.078:39.018;-23.074:38.862,-20.078463;-23.074413,1,
1,37,complete,120,59,60,3.776,957.905,2.374,13,2,1,-0.076501,0,10.9686,0,0,2.82853,0,-0.44086,-8.14007,-0.304041,1.65193,3.74836,0.299416,21.349999999999994,16.428999999999974,2.308145,0,,0,1,71,142,71,83,62,12.621,15.612,1.570796,14.11657,2738;2738,12.621:41.275;15.612:41.046,12.620957;15.612182,1,
