piece,phase,frame,time_ms,landing_frame,x,y,velocity_x,velocity_y,angular_velocity,angle,sleeping,ground_contact,contact_width_px,contact_center_offset_px,contact_points,contact_parts,pre_velocity_x,pre_velocity_y,pre_angular_velocity,delta_velocity_x,delta_velocity_y,delta_angular_velocity,collision_normal_x,collision_normal_y,collision_depth,collision_separation,collision_pair_count,collision_contact_count,collision_support_count,collision_contact_part_count
1,post_landing,67,1097.0,59,204.417,480.411,1.12527,1.97702,-0.114075,-0.951595,0,0,0.000,0.000,0,0,1.14265,1.72150,-0.115837,-0.01738,0.25552,0.001762,,,,,0,0,0,0
1,post_landing,68,1114.0,59,205.488,482.451,1.10915,2.21394,-0.112441,-1.060126,0,0,0.000,0.000,0,0,1.12527,1.97702,-0.114075,-0.01612,0.23691,0.001634,,,,,0,0,0,0
1,post_landing,69,1130.0,59,206.608,484.868,1.09228,2.46197,-0.110731,-1.173723,0,0,0.000,0.000,0,0,1.10915,2.21394,-0.112441,-0.01687,0.24803,0.001711,,,,,0,0,0,0
1,post_landing,70,1148.0,59,207.564,485.283,0.44689,-0.13324,-0.020858,-1.252963,0,1,0.950,-23.472,3,2,1.09228,2.46197,-0.110731,-0.64539,-2.59521,0.089873,0.000000,1.000000,0.209796,-0.130755,2,3,4,2
1,post_landing,71,1164.0,59,207.897,484.968,0.21404,0.03677,0.005769,-1.258716,0,0,0.000,0.000,0,0,0.44689,-0.13324,-0.020858,-0.23284,0.17001,0.026627,,,,,0,0,0,0
1,post_landing,72,1181.0,59,208.117,485.117,0.28311,0.17774,0.006291,-1.253395,0,1,0.000,-22.982,1,1,0.21404,0.03677,0.005769,0.06906,0.14096,0.000522,0.000000,1.000000,0.048364,0.021907,1,1,2,1
1,post_landing,73,1198.0,59,208.442,485.294,0.38148,0.24384,0.009259,-1.245802,0,1,0.000,-23.254,1,1,0.28311,0.17774,0.006291,0.09837,0.06610,0.002968,0.000000,1.000000,0.052336,0.023195,1,1,2,1
1,post_landing,74,1214.0,59,208.867,485.540,0.47846,0.31453,0.012082,-1.235323,0,1,0.000,-23.627,1,1,0.38148,0.24384,0.009259,0.09698,0.07069,0.002823,0.000000,1.000000,0.052656,0.023167,1,1,2,1
1,post_landing,75,1231.0,59,209.356,485.838,0.56709,0.38464,0.014809,-1.222737,0,1,0.000,-24.072,1,1,0.47846,0.31453,0.012082,0.08863,0.07012,0.002727,0.000000,1.000000,0.048048,0.021934,1,1,2,1
1,post_landing,76,1248.0,59,209.968,486.232,0.66001,0.46421,0.017629,-1.206663,0,1,0.000,-24.634,1,1,0.56709,0.38464,0.014809,0.09293,0.07957,0.002820,0.000000,1.000000,0.052729,0.023161,1,1,2,1
1,post_landing,77,1264.0,59,210.673,486.706,0.74938,0.55008,0.020536,-1.187649,0,1,0.000,-25.291,1,1,0.66001,0.46421,0.017629,0.08936,0.08587,0.002907,0.000000,1.000000,0.052766,0.023158,1,1,2,1
1,post_landing,78,1281.0,59,211.419,487.235,0.82962,0.63730,0.023385,-1.166952,0,1,0.000,-25.996,1,1,0.74938,0.55008,0.020536,0.08024,0.08722,0.002849,0.000000,1.000000,0.048165,0.021924,1,1,2,1
1,post_landing,79,1298.0,59,212.294,487.894,0.91172,0.73870,0.026361,-1.142095,0,1,0.000,-26.828,1,1,0.82962,0.63730,0.023385,0.08209,0.10139,0.002976,0.000000,1.000000,0.052703,0.023163,1,1,2,1
1,post_landing,80,1314.0,59,213.250,488.657,0.98798,0.84929,0.029473,-1.114130,0,1,0.000,-27.744,1,1,0.91172,0.73870,0.026361,0.07627,0.11059,0.003113,0.000000,1.000000,0.052589,0.023173,1,1,2,1
1,post_landing,81,1331.0,59,214.217,489.492,1.04952,0.95489,0.033373,-1.084465,0,1,0.000,-28.692,1,1,0.98798,0.84929,0.029473,0.06154,0.10560,0.003900,0.000000,1.000000,0.039438,0.022674,1,1,2,1
1,post_landing,82,1348.0,59,215.309,490.519,1.11371,1.08705,0.036507,-1.049400,0,1,0.000,-29.780,1,1,1.04952,0.95489,0.033373,0.06419,0.13216,0.003134,0.000000,1.000000,0.043522,0.023952,1,1,2,1
1,post_landing,83,1364.0,59,216.462,491.683,1.16804,1.23096,0.039804,-1.011056,0,1,0.000,-30.927,1,1,1.11371,1.08705,0.036507,0.05432,0.14391,0.003296,0.000000,1.000000,0.043323,0.023969,1,1,2,1
1,post_landing,84,1381.0,59,217.466,491.566,0.76686,-0.04615,0.001620,-1.001264,0,1,0.000,36.202,1,1,1.16804,1.23096,0.039804,-0.40117,-1.27710,-0.038184,0.000000,1.000000,0.045401,0.022162,1,1,2,1
1,post_landing,85,1398.0,59,218.065,491.483,0.36610,-0.07766,0.001903,-0.998938,0,1,0.000,36.133,1,1,0.76686,-0.04615,0.001620,-0.40076,-0.03151,0.000283,0.000000,1.000000,0.047259,0.024913,1,1,2,1
1,post_landing,86,1414.0,59,218.350,491.433,0.15955,0.01700,-0.000211,-0.997537,0,1,0.000,36.092,1,1,0.36610,-0.07766,0.001903,-0.20655,0.09466,-0.002114,0.000000,1.000000,0.048535,0.023521,1,1,2,1
1,post_landing,87,1431.0,59,218.449,491.477,0.01865,0.13308,-0.003336,-0.998791,0,1,0.000,36.129,1,1,0.15955,0.01700,-0.000211,-0.14091,0.11608,-0.003125,0.000000,1.000000,0.044404,0.022247,1,1,2,1
1,post_landing,88,1448.0,59,218.421,491.653,-0.10269,0.27136,-0.007094,-1.003593,0,1,0.000,36.271,1,1,0.01865,0.13308,-0.003336,-0.12134,0.13828,-0.003758,0.000000,1.000000,0.048704,0.023507,1,1,2,1
1,post_landing,89,1464.0,59,218.329,491.794,0.00156,0.00005,0.000030,-1.007633,0,1,67.417,2.681,2,2,-0.10269,0.27136,-0.007094,0.10425,-0.27131,0.007123,0.000000,1.000000,0.048772,0.029094,2,2,4,2
1,post_landing,90,1481.0,59,218.330,491.792,-0.00005,-0.00000,-0.000001,-1.007614,0,1,67.417,2.680,2,2,0.00156,0.00005,0.000030,-0.00161,-0.00005,-0.000031,0.000000,1.000000,0.045688,0.027033,2,2,4,2
