run,piece,status,frame_count,landing_frame,post_land_frame_count,mass,inertia,com_offset_px,footprint_width_px,contact_points,contact_parts,landing_angle,landing_pre_vx,landing_pre_vy,landing_pre_angular_velocity,landing_vx,landing_vy,landing_angular_velocity,landing_delta_vx,landing_delta_vy,landing_delta_angular_velocity,max_post_land_abs_vx,max_post_land_abs_vy,max_post_land_abs_angular_velocity,post_land_x_range,post_land_y_range,post_land_angle_range,max_bounce_height_px,sleep_frame,final_sleeping,final_ground_contact,physics_parts,triangles,regions,raw_regions,contour_vertices,landing_contact_left_offset_px,landing_contact_right_offset_px,landing_contact_normal_angle_rad,landing_contact_torque_proxy,landing_contact_parts_detail,landing_contact_offsets_xy_px,landing_contact_torque_proxies,landing_dynamic_body_count,landing_other_dynamic_body_ids
3,1,complete,120,59,60,4.348,1775.255,7.415,3,2,1,-0.065637,0,10.93444,0,0,0,0,2.58449,-11.1623,-0.179614,2.54518,1.90573,0.176882,49.478999999999985,20.12099999999998,1.559739,0.9979999999999905,,0,1,88,176,88,91,83,1.888,2.886,1.570796,2.386994,11046;11046,1.888:48.353;2.886:48.288,1.888070;2.885917,1,
3,2,complete,120,59,60,4.144,971.803,3.723,6,2,1,0.008121,0,10.94813,0,0.22083,0,0.006917,0.22083,-10.94826,0.006917,2.12571,1.58601,0.081958,48.02200000000002,20.468000000000018,1.301639,0,,0,1,83,166,83,90,76,-2.956,0.044,1.570796,-1.455865,11131;11131,0.044:44.613;-2.956:44.589,0.044085;-2.955816,1,
3,3,complete,121,60,60,6.218,2680.781,8.535,8,6,3,-0.060413,0,11.04984,0,-0.1702,0,-0.004723,-0.1702,-11.21662,-0.004723,0.41981,0.48849,0.012743,1.2379999999999995,0.9650000000000318,0.035502000000000006,0.82000000000005,,0,1,89,178,89,93,68,-38.784,21.287,1.570796,-8.748541,11222;11222;11217;11217;11219;11219,14.300:32.499;21.287:32.076;-38.784:32.704;-27.804:32.040;-37.726:33.642;-31.737:33.280,14.300064;21.287294;-38.784376;-27.804443;-37.725825;-31.736770,1,
3,4,complete,120,59,60,2.636,378.793,10.821,9,1,1,0.028524,0,10.94131,0,0,0.01061,0.007488,0.37503,-10.93069,0.007488,1.73488,2.56398,0.069534,40.792,22.838000000000022,1.081031,0,,0,1,54,108,54,54,62,-0.727,-0.727,1.570796,-0.727352,11278,-0.727:44.993,-0.727352,1,
3,5,complete,120,59,60,4.202,918.333,0.519,9,6,3,0,0,10.94813,0,0,0.79246,0,-0.40112,-10.15567,-0.213396,1.82036,1.57389,0.154594,44.543000000000006,17.758999999999958,2.0201,0,,0,1,84,168,84,91,85,2.874,13.874,1.570796,8.374108,11362;11362;11363;11363;11364;11364,13.874:38.640;2.874:38.640;12.874:39.640;3.874:39.640;9.874:40.640;4.874:40.640,13.874108;2.874108;12.874108;3.874108;9.874108;4.874108,1,
3,6,complete,120,59,60,4.956,1754.612,4.805,35,6,3,0,0,10.92079,0,0,0,0,-0.36042,-11.99252,-0.060758,0.60089,0.88973,0.030237,18.52600000000001,4.9950000000000045,0.524113,4.9950000000000045,,0,1,63,126,63,66,67,-17.078,17.922,1.570796,0.421711,11427;11427;11428;11428;11429;11429,17.922:41.457;15.922:41.457;-5.078:41.457;-17.078:41.457;-5.078:42.457;-16.078:42.457,17.921711;15.921711;-5.078289;-17.078289;-5.078289;-16.078289,1,
3,7,complete,120,59,60,4.74,1831.832,2.853,4,4,2,0,0,10.90709,0,0.2366,2.81146,0,0.2366,-8.09563,0.162456,1.36808,2.81146,0.038818,13.656000000000006,4.437999999999988,0.373913,0,,0,1,102,204,102,107,84,-15.103,-11.103,1.570796,-13.102954,11532;11532;11533;11533,-11.103:42.789;-15.103:42.789;-12.103:43.789;-14.103:43.789,-11.102954;-15.102954;-12.102954;-14.102954,1,
3,8,complete,121,60,60,5.508,2566.696,2.475,5,2,1,0.088581,0,10.99574,0,0,4.9483,0,0.43047,-6.04744,0.175474,0.9895,4.9483,0.036658,18.533999999999992,10.918999999999983,0.567225,0,,0,1,68,136,68,69,57,-30.008,-28.016,1.570796,-29.011824,11603;11603,-28.016:38.861;-30.008:38.684,-28.015745;-30.007904,1,
3,9,complete,120,59,60,5.038,2670.843,2.201,5,4,2,0.022032,0,10.94813,0,0.17321,5.52031,0,0.17321,-5.42782,0.14449,1.71325,5.52031,0.058302,26.131,12.114999999999952,0.8812819999999999,0,,0,1,78,156,78,82,79,-35.575,-30.576,1.570796,-33.075191,11683;11683;11682;11682,-31.598:41.544;-34.597:41.478;-30.576:40.566;-35.575:40.456,-31.597586;-34.596857;-30.575798;-35.574584,1,
3,10,complete,121,60,60,6.51,5147.624,3.157,50,2,1,-0.00221,0,11.07001,0,0,0,0,2.86349,-11.94965,-0.068826,2.81993,0.79518,0.067779,21.995000000000005,2.9909999999999854,0.229263,2.54200000000003,,0,1,97,194,97,102,84,19.254,27.254,1.570796,23.254391,11782;11782,19.254:34.806;27.254:34.788,19.254401;27.254382,1,
