run,piece,compound_mode,status,frame_count,landing_frame,post_land_frame_count,mass,inertia,com_offset_px,footprint_width_px,contact_points,contact_parts,landing_angle,landing_pre_vx,landing_pre_vy,landing_pre_angular_velocity,landing_vx,landing_vy,landing_angular_velocity,landing_delta_vx,landing_delta_vy,landing_delta_angular_velocity,max_post_land_abs_vx,max_post_land_abs_vy,max_post_land_abs_angular_velocity,post_land_x_range,post_land_y_range,post_land_angle_range,max_bounce_height_px,sleep_frame,final_sleeping,final_ground_contact,physics_parts,triangles,regions,raw_regions,contour_vertices,landing_contact_left_offset_px,landing_contact_right_offset_px,landing_contact_normal_angle_rad,landing_contact_torque_proxy,landing_contact_parts_detail,landing_contact_offsets_xy_px,landing_contact_torque_proxies,narrow_landing_correction_latched,narrow_landing_contact_width_latched_px,narrow_landing_contact_source_latched,narrow_landing_contact_offset_latched_px,narrow_landing_angular_before_latched,narrow_landing_angular_delta_latched,narrow_landing_angular_after_latched,narrow_landing_correction_applied_latched,first_ground_contact_substep,first_ground_contact_vx_before,first_ground_contact_vx_after,first_ground_contact_delta_vx,first_ground_contact_vy_before,first_ground_contact_vy_after,first_ground_contact_delta_vy,first_ground_contact_angular_before,first_ground_contact_angular_after,first_ground_contact_delta_angular,first_ground_contact_delta_x,first_ground_contact_delta_y,first_ground_contact_width_px,first_ground_contact_offset_px,first_ground_contact_source,max_ground_delta_vx,max_ground_delta_vx_before,max_ground_delta_vx_after,max_ground_delta_vy,max_ground_delta_angular,max_ground_delta_vx_substep,max_ground_delta_vx_contact_width_px,max_ground_delta_vx_contact_offset_px,max_ground_delta_vx_contact_source,first_ground_response_normal_x,first_ground_response_normal_y,first_ground_response_normal_angle_rad,first_ground_response_tangent_x,first_ground_response_tangent_y,first_ground_response_depth,first_ground_response_separation,first_ground_response_friction,first_ground_response_friction_static,first_ground_response_delta_vn,first_ground_response_delta_vt,first_ground_response_linear_impulse_normal_proxy,first_ground_response_linear_impulse_tangent_proxy,first_ground_response_angular_impulse_proxy,first_ground_response_pair_count,first_ground_response_contact_count,first_ground_response_support_count,first_ground_response_pair_id,max_ground_response_normal_x,max_ground_response_normal_y,max_ground_response_normal_angle_rad,max_ground_response_tangent_x,max_ground_response_tangent_y,max_ground_response_depth,max_ground_response_separation,max_ground_response_friction,max_ground_response_friction_static,max_ground_response_delta_vn,max_ground_response_delta_vt,max_ground_response_linear_impulse_normal_proxy,max_ground_response_linear_impulse_tangent_proxy,max_ground_response_angular_impulse_proxy,max_ground_response_pair_count,max_ground_response_contact_count,max_ground_response_support_count,max_ground_response_pair_id
6,6,intermediate,complete,121,60,60,4.956,1754.612,4.805,35,1,1,0.139162,0,11.00253,0,0,0,0,0.71434,-12.74567,0.130501,1.43285,2.57773,0.128632,16.468999999999994,27.468999999999994,1.998531,5.1370000000000005,,0,1,63,126,63,66,67,11.998,11.998,1.570796,11.997806,11372,11.998:43.542,11.997806,0.587220,2.111,geometry-edge,14.573,0.225922,-0.130342,0.172119,1,241,0.000000,0.120286,0.120286,11.002532,1.180505,-9.822027,0.000000,0.225922,0.225922,0.000000,2.155293,11.000,10.578,geometry-edge,0.317809,-1.075214,-0.757406,-0.082052,-0.002174,411,62.066,7.753,geometry-edge,0.000000,1.000000,1.570796,-1.000000,0.000000,0.683183,,0.350000,1.000000,-9.822027,-0.120286,-48.677966,-0.596138,396.405504,1,2,2,8rq:8s8,0.000000,1.000000,1.570796,-1.000000,0.000000,0.056329,,0.350000,1.000000,-0.082052,-0.317809,-0.406649,-1.575060,-3.814838,3,4,6,8rq:8rs
6,7,intermediate,complete,120,59,60,4.74,1831.832,2.853,4,1,1,0.066004,0,10.95496,0,0,1.90112,0,0.40429,-9.05384,0.12544,1.31499,1.90112,0.034416,12.62899999999999,4.038000000000011,0.294525,0,,0,1,102,204,102,107,84,-14.965,-14.965,1.570796,-14.964766,11433,-14.965:42.895,-14.964766,0.506435,2.000,geometry-edge,13.103,0.000000,0.253649,0.125192,1,238,0.000000,0.110352,0.110352,10.983890,3.114873,-7.869018,0.000000,0.125192,0.125192,0.000000,2.634200,2.000,13.103,geometry-edge,1.191204,0.000000,1.191204,-0.019460,0.010599,245,2.117,18.858,geometry-edge,0.000000,1.000000,1.570796,-1.000000,0.000000,0.199541,,0.350000,1.000000,-7.869018,-0.110352,-37.299143,-0.523069,229.331221,1,2,2,8tj:8tl,0.000000,1.000000,1.570796,-1.000000,0.000000,0.040018,,0.350000,1.000000,-0.019460,-1.191204,-0.092241,-5.646305,19.414706,1,1,2,8tj:8tl
6,8,intermediate,complete,121,60,60,5.508,2566.696,2.475,5,2,1,0.104363,0,11.00243,0,0,5.33211,0,0.49732,-5.67031,0.201706,1.82338,5.52098,0.198817,27.732,12.409999999999968,1.677185,0,,0,1,68,136,68,69,57,-30.615,-28.626,1.570796,-29.620088,11537;11537,-28.626:38.414;-30.615:38.206,-28.625529;-30.614647,0.250000,6.000,geometry-edge,24.468,0.000000,0.263204,0.197403,1,242,0.000000,0.225666,0.225666,11.031176,5.779987,-5.251189,0.000000,0.197403,0.197403,0.000000,1.639302,6.000,24.468,geometry-edge,0.735053,0.484597,1.219650,-7.361861,-0.066244,252,23.302,1.715,geometry-edge,0.000000,1.000000,1.570796,-1.000000,0.000000,2.206451,,0.350000,1.000000,-5.251189,-0.225666,-28.923548,-1.242968,506.673870,3,6,6,8wf:8wh,0.000000,1.000000,1.570796,-1.000000,0.000000,0.688538,,0.350000,1.000000,-7.361861,-0.735053,-40.549132,-4.048672,-170.027697,5,5,10,8wf:8y9
6,9,intermediate,complete,120,59,60,5.038,2670.843,2.201,5,2,1,0.058728,0,10.97541,0,0.28808,5.22632,0,0.28808,-5.74908,0.156545,1.90372,5.22632,0.06211,26.351,11.426000000000045,0.886233,0,,0,1,78,156,78,82,79,-36.095,-33.1,1.570796,-34.597846,11608;11608,-33.100:40.357;-36.095:40.181,-33.100432;-36.095260,0.625000,3.000,geometry-edge,32.175,0.000000,0.231254,0.086720,1,238,0.000000,0.054082,0.054082,11.004259,7.133732,-3.870527,0.000000,0.086720,0.086720,0.000000,2.208067,3.000,32.175,geometry-edge,1.861909,0.288080,2.149989,-1.842638,0.062915,249,33.955,25.424,geometry-edge,0.000000,1.000000,1.570796,-1.000000,0.000000,0.630848,,0.350000,1.000000,-3.870527,-0.054082,-19.499715,-0.272464,231.616566,1,2,2,8yd:8yg,0.000000,1.000000,1.570796,-1.000000,0.000000,0.049987,,0.350000,1.000000,-1.842638,-1.861909,-9.283208,-9.380297,168.036690,2,2,4,8yd:8yy
6,10,intermediate,complete,120,59,60,6.51,5147.624,3.157,50,2,1,0,0,10.98901,0,-0.09555,3.86975,0,-0.09555,-7.11927,-0.200271,1.2207,3.86975,0.060365,24.352000000000004,8.502999999999986,0.658499,8.213000000000022,,0,1,97,194,97,102,84,19.177,27.177,1.570796,23.177419,11702;11702,27.177:34.848;19.177:34.848,27.177419;19.177419,0.388896,4.889,geometry-edge,19.411,-0.054764,0.031975,-0.035224,1,240,0.000000,-0.095553,-0.095553,11.075086,3.869749,-7.205337,0.000000,-0.200271,-0.200271,0.000000,2.622574,8.000,23.177,geometry-edge,-0.430783,-0.095553,-0.526336,-5.362445,-0.073530,241,49.089,4.370,geometry-edge,0.000000,1.000000,1.570796,-1.000000,0.000000,0.234333,,0.350000,1.000000,-7.205337,0.095553,-46.906742,0.622053,-1030.922000,1,2,2,90l:912,0.000000,1.000000,1.570796,-1.000000,0.000000,1.041650,,0.350000,1.000000,-5.362445,0.430783,-34.909515,2.804397,-378.502309,3,4,6,90l:90y
