run,piece,event_index,change_index,substep,reason,part_ids,contact_width_px,contact_offset_px,vx_before,vx_after,delta_vx,vy_before,vy_after,delta_vy,angular_before,angular_after,delta_angular,delta_vn,delta_vt,x,angle,cumulative_delta_x,cumulative_delta_angle,contact_points,support_count
6,2,1,6,445,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE,11054,2.736,15.424,1.821499,1.868776,0.047277,0.954491,1.007693,0.053202,0.075722,0.068971,-0.006752,0.053202,-0.047277,230.730,0.846912,35.730,0.846912,1,2
6,2,1,7,455,WIDTH_CHANGE,11054,0.850,19.377,1.944746,1.940199,-0.004547,1.313443,1.363051,0.049608,0.069096,0.069854,0.000758,0.049608,0.004547,235.534,1.015774,40.534,1.015774,1,2
6,2,1,8,461,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE+RESPONSE,11054;11131,18.818,13.221,1.912412,2.147746,0.235334,1.613975,0.759884,-0.854091,0.073100,0.082201,0.009101,-0.854091,-0.235334,238.355,1.120677,43.355,1.120677,2,4
6,2,1,9,462,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE,11131,5.456,7.028,2.147746,2.133929,-0.013817,0.759884,0.799144,0.039260,0.082201,0.083696,0.001495,0.039260,0.013817,238.901,1.141558,43.901,1.141558,1,2
6,2,1,10,469,PART_CHANGE+WIDTH_CHANGE+RESPONSE,11062;11070;11131,47.801,10.431,2.098426,1.963482,-0.134943,1.116433,-0.008440,-1.124873,0.084607,0.000628,-0.083979,-1.124873,0.134943,242.632,1.290159,47.632,1.290159,4,6
6,2,1,11,470,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE,11070,0.961,32.887,1.963482,1.912256,-0.051227,-0.008440,0.019017,0.027457,0.000628,-0.000204,-0.000832,0.027457,0.051227,243.101,1.290310,48.101,1.290310,1,2
6,2,1,12,474,RESPONSE,11070,0.961,32.889,1.585364,1.415871,-0.169493,-0.002714,-0.045316,-0.042602,0.000516,0.001830,0.001315,-0.042602,0.169493,244.837,1.290222,49.837,1.290222,1,2
6,2,1,13,475,RESPONSE,11070,0.961,32.878,1.415871,1.213775,-0.202096,-0.045316,-0.108312,-0.062996,0.001830,0.003776,0.001946,-0.062996,0.202096,245.196,1.290687,50.196,1.290687,1,2
6,2,1,14,476,RESPONSE,11070,0.961,32.854,1.213775,1.001924,-0.211851,-0.108312,-0.181723,-0.073411,0.003776,0.005379,0.001603,-0.073411,0.211851,245.505,1.291646,50.505,1.291646,1,2
6,2,1,15,477,RESPONSE,11070,0.962,32.821,1.001924,0.835230,-0.166694,-0.181723,-0.220780,-0.039057,0.005379,0.007106,0.001727,-0.039057,0.166694,245.759,1.293012,50.759,1.293012,1,2
6,3,1,1,243,START,11140;11142;11145;11146,60.000,9.688,0.000000,-0.051496,-0.051496,11.113548,0.007402,-11.106146,0.000000,0.001227,0.001227,-11.106146,0.051496,195.000,0.000000,0.000,0.000000,8,8
6,3,1,2,244,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE,11142;11145,8.000,15.302,-0.051496,-0.048625,0.002871,0.007402,-0.014587,-0.021989,0.001227,-0.002359,-0.003586,-0.021989,-0.002871,194.987,0.000312,-0.013,0.000312,4,4
6,3,1,3,245,PART_CHANGE+WIDTH_CHANGE,11142,7.000,15.820,-0.048625,-0.061244,-0.012620,0.000000,0.034348,0.034348,-0.002359,-0.001900,0.000459,0.034348,0.012620,194.975,-0.000252,-0.025,-0.000252,2,2
