run,piece,event_index,start_substep,end_substep,duration_substeps,part_ids,start_x,end_x,delta_x,start_y,end_y,delta_y,start_angle,end_angle,delta_angle,start_vx,end_vx,delta_vx,start_vy,end_vy,delta_vy,start_angular_velocity,end_angular_velocity,delta_angular_velocity,min_contact_width_px,max_contact_width_px,max_contact_offset_px,max_abs_delta_vx,max_delta_vx_substep,max_delta_vx_width_px,max_delta_vx_offset_px,max_delta_vn,max_delta_vt,max_abs_delta_angular,max_delta_angular_substep,max_abs_delta_vt,sum_abs_delta_vx,change_point_count
6,26,1,243,244,2,12876;12891,195.000,195.040,0.040,484.057,484.751,0.694,0.000000,0.081107,0.081107,0.166637,0.251507,0.084870,3.783559,3.836605,0.053046,0.339166,0.327194,-0.011972,4.068,11.000,17.950,0.166637,243,11.000,16.504,-7.279587,-0.166637,0.339166,243,0.166637,0.251507,2
6,26,2,248,249,2,12867;12872;12875,195.294,195.485,0.191,487.870,487.515,-0.354,0.411665,0.464947,0.053282,0.751253,1.266022,0.514768,-1.360778,-1.284740,0.076038,0.209752,0.148822,-0.060929,3.578,4.866,4.385,1.014514,249,3.578,1.981,-1.284740,-1.014514,0.148822,249,1.014514,1.517136,2
6,26,3,296,484,189,12897;12909;12922;12881;12935;12939;12942,209.090,200.914,-8.176,491.923,501.891,9.969,2.064288,1.673569,-0.390719,0.901076,0.000000,-0.901076,0.245578,-0.000000,-0.245578,-0.011321,0.000000,0.011321,0.883,44.181,27.217,0.724075,362,44.181,7.867,-1.816533,-0.724075,0.136514,296,0.724075,3.934906,13
6,27,1,242,484,243,12946;12947;12956;12948,195.000,183.954,-11.046,481.477,486.927,5.451,0.000000,-0.356453,-0.356453,-0.362766,0.000000,0.362766,2.240343,0.000000,-2.240343,-0.174363,0.000000,0.174363,1.041,47.168,23.920,1.594167,249,1.152,17.237,0.000874,1.594167,0.174363,242,1.594167,7.133761,10
6,28,1,242,243,2,13015;13019,195.000,195.058,0.058,481.461,481.690,0.229,0.000000,0.068511,0.068511,0.227379,0.325155,0.097777,3.046860,3.069634,0.022774,0.269703,0.251363,-0.018341,2.064,3.000,12.957,0.227379,242,3.000,9.773,-7.984447,-0.227379,0.269703,242,0.227379,0.325155,2
6,28,2,245,248,4,13014,195.218,195.652,0.434,483.043,482.492,-0.551,0.192244,0.241717,0.049473,0.418331,0.855493,0.437162,-0.430543,-0.434521,-0.003978,0.100400,0.026012,-0.074388,2.154,2.181,10.797,0.195911,246,2.168,9.898,-0.141181,-0.195911,0.150001,245,0.195911,0.531581,3
6,28,3,252,488,237,13014;13032;13033;13104;13022,196.516,238.685,42.169,482.252,497.927,15.674,0.267996,1.438195,1.170199,0.842479,0.000100,-0.842379,-0.182562,0.000026,0.182588,0.024010,-0.000001,-0.024011,0.992,64.747,31.719,0.175336,458,0.992,29.523,-0.057758,0.175336,0.064138,453,0.175336,4.263862,6
6,29,1,242,244,3,13112,195.000,194.866,-0.134,482.000,482.747,0.746,0.000000,-0.079402,-0.079402,-0.130104,-0.672685,-0.542580,1.754098,1.338290,-0.415808,-0.166103,-0.131602,0.034501,2.000,2.073,11.886,0.274439,244,2.073,11.886,-0.089006,0.274439,0.166103,242,0.274439,0.672685,3
6,29,2,253,255,3,13109,193.390,192.938,-0.452,486.431,487.268,0.837,-0.368109,-0.427086,-0.058977,-0.772161,-1.348756,-0.576596,1.661331,1.334784,-0.326547,-0.124444,-0.101344,0.023100,1.293,1.324,15.455,0.342711,255,1.324,15.455,-0.223329,0.342711,0.016718,254,0.342711,0.695793,3
6,29,3,265,484,220,13177;13179;13115;13125;13132;13182;13187;13140,189.648,145.953,-43.695,491.403,493.883,2.479,-0.674306,-2.180621,-1.506315,-1.476688,-0.209407,1.267281,0.298045,0.040979,-0.257066,-0.096970,-0.007409,0.089561,0.624,37.439,25.258,0.230788,286,25.900,1.094,-1.281696,-0.230788,0.028145,411,0.230788,5.230850,21
6,30,1,241,242,2,13199;13217,195.000,194.931,-0.069,478.793,478.703,-0.090,0.000000,-0.059486,-0.059486,-0.272992,-0.417026,-0.144034,0.345118,0.414631,0.069513,-0.234173,-0.212578,0.021596,5.051,11.000,10.384,0.272992,241,11.000,6.887,-10.663931,0.272992,0.234173,241,0.272992,0.417026,2
6,30,2,284,524,241,13202;13209;13215;13218;13219;13224;13226;13228;13248;13247;13236;13244;13245;13246;13241;13243,190.898,202.151,11.253,496.678,502.422,5.744,-2.115050,-1.568854,0.546196,0.255007,-0.000000,-0.255007,0.106007,0.000000,-0.106007,0.012137,-0.000000,-0.012137,0.860,28.000,23.550,0.612605,284,18.348,17.573,-2.888491,-0.612605,0.194422,284,0.612605,6.547099,27
