run,piece,status,frame_count,landing_frame,post_land_frame_count,mass,inertia,com_offset_px,footprint_width_px,contact_points,contact_parts,landing_angle,landing_pre_vx,landing_pre_vy,landing_pre_angular_velocity,landing_vx,landing_vy,landing_angular_velocity,landing_delta_vx,landing_delta_vy,landing_delta_angular_velocity,max_post_land_abs_vx,max_post_land_abs_vy,max_post_land_abs_angular_velocity,post_land_x_range,post_land_y_range,post_land_angle_range,max_bounce_height_px,sleep_frame,final_sleeping,final_ground_contact,physics_parts,triangles,regions,raw_regions,contour_vertices,landing_contact_left_offset_px,landing_contact_right_offset_px,landing_contact_normal_angle_rad,landing_contact_torque_proxy,landing_contact_parts_detail,landing_contact_offsets_xy_px,landing_contact_torque_proxies,landing_dynamic_body_count,landing_other_dynamic_body_ids
1,11,complete,121,60,60,7.92,8547.864,7.191,25,1,1,-0.002276,0,11.07003,0,-0.08653,0,-0.002903,-0.08653,-11.08656,-0.002903,0.08653,0.01429,0.002903,0.2109999999999843,0.040000000000020464,0.0060279999999999995,0.024999999999977263,120,1,0,78,156,78,80,67,-6.913,-6.913,1.570796,-6.913156,906,-6.913:36.388,-6.913156,1,
1,12,complete,122,61,60,3.718,2601.283,4.837,6,1,1,0.130992,0,11.13692,0,0,2.94886,0,1.43723,-8.18806,0.150848,1.22836,2.94886,0.039064,13.254000000000019,5.229000000000042,0.49975400000000003,0.3830000000000382,,0,1,65,130,65,66,71,-19.446,-19.446,1.570796,-19.445574,973,-19.446:27.194,-19.445574,1,
1,13,complete,121,60,60,4.536,3981.248,4.575,14,4,2,0,0,11.11025,0,-0.09428,0,-0.008813,-0.09428,-11.111,-0.008813,0.29248,0.12975,0.012673,4.715000000000003,0.4379999999999882,0.20315,0,,0,1,57,114,57,60,65,-0.109,6.891,1.570796,3.390653,1031;1031;1032;1032,1.891:23.489;-0.109:23.489;6.891:23.489;4.891:23.489,1.890653;-0.109347;6.890653;4.890653,1,
1,14,complete,121,60,60,7.566,7101.376,6.276,25,1,1,0.005979,0,11.09686,0,0.26429,0,0.006791,0.26429,-11.12946,0.006791,0.26429,0.0628,0.007168,1.983000000000004,0.20299999999997453,0.064635,0.17899999999997362,,0,1,71,142,71,80,78,4.195,4.195,1.570796,4.195384,1105,4.195:34.956,4.195384,1,
1,15,complete,120,59,60,5.814,3593.304,4.465,13,1,1,-0.050848,0,11.0026,0,0,2.28876,0,-0.70923,-8.71384,-0.178929,1.96513,2.28876,0.060696,67.40699999999998,10.434000000000026,2.2947490000000004,0,,0,1,55,110,55,55,49,12.67,12.67,1.570796,12.669999,1162,12.670:37.337,12.669999,1,
1,16,complete,122,61,60,3.306,3597.108,6.323,12,1,1,-0.055258,0,11.18334,0,0,1.09102,0,-0.93438,-10.09232,-0.099124,0.52536,1.15064,0.026732,5.024999999999977,4.75,0.28326399999999996,2.75,,0,1,49,98,49,49,48,10.968,10.968,1.570796,10.968166,1213,10.968:20.704,10.968166,1,
1,17,complete,121,60,60,5.48,5629.969,2.731,19,4,2,0,0,11.07675,0,0,0.17261,0,-1.32202,-10.90414,-0.044201,1.30831,0.57853,0.046582,16.132000000000005,4.144999999999982,0.562491,3.8109999999999786,,0,1,58,116,58,59,60,0.247,19.247,1.570796,9.746715,1272;1272;1273;1273,19.247:25.947;0.247:25.947;10.247:26.947;5.247:26.947,19.246715;0.246715;10.246715;5.246715,1,
1,18,complete,120,59,60,3.562,630.087,1.933,18,6,3,0,0,10.92081,0,0,0,0,-0.98302,-11.63998,0.096406,1.97787,2.66442,0.108984,47.059,26.117999999999995,1.601695,1.961999999999989,,0,1,86,172,86,97,82,-11.896,6.104,1.570796,-2.896407,1359;1359;1360;1360;1361;1361,6.104:42.588;0.104:42.588;-4.896:41.588;-10.896:41.588;-5.896:42.588;-11.896:42.588,6.103593;0.103593;-4.896407;-10.896407;-5.896407;-11.896407,1,
1,19,complete,128,67,60,4.006,1049.179,2.425,8,1,1,-1.359857,-0.75234,3.16548,-0.150528,-1.36321,1.2969,-0.15477,-0.61086,-1.86857,-0.004242,2.17091,1.35789,0.15477,12.278999999999996,6.317999999999984,0.571639,3.6030000000000086,,0,1,72,144,72,73,59,8.267,8.267,1.570796,8.2674,1401,8.267:21.884,8.267400,1,
1,20,complete,120,59,60,4.246,1052.603,1.069,5,2,1,0,0,10.92081,0,-0.24469,0,0,-0.24469,-10.93536,-0.01508,0.79787,0.22674,0.017568,14.551999999999992,1.4069999999999823,0.375935,0.003999999999962256,,0,1,122,244,122,127,82,-0.641,3.359,1.570796,1.359162,1559;1559,3.359:42.060;-0.641:42.060,3.359162;-0.640838,1,
