run,piece,status,frame_count,landing_frame,post_land_frame_count,mass,inertia,com_offset_px,footprint_width_px,bottom_width_1px,bottom_width_2px,bottom_width_4px,bottom_width_8px,contact_width_px,contact_center_offset_px,contact_points,contact_parts,max_speed,max_angular_velocity,min_angle,max_angle,angle_range,min_x,max_x,x_range,sleep_frame,final_sleeping,final_ground_contact,physics_parts,triangles,regions,raw_regions,contour_vertices
4,1,complete,120,59,60,4.348,1775.255,7.415,3,3,11,12,12,12,0.713,20,10,10.92578,0.044238,-0.071938,0.242463,0.31440100000000004,190.827,198.104,7.277000000000015,,0,1,88,176,88,91,83
4,2,complete,120,59,60,4.144,971.803,3.723,6,6,6,7,10,8,-1.594,8,4,10.92473,0.055893,-0.669798,0.070353,0.740151,166.424,203.384,36.95999999999998,,0,1,83,166,83,90,76
4,3,complete,121,60,60,6.218,2680.781,8.535,8,8,60,61,61,61,-10.188,18,9,11.04116,0.022088,-0.03987,0.009375,0.049245000000000004,194.978,195.904,0.9259999999999877,,0,1,89,178,89,93,68
4,4,complete,120,59,60,2.636,378.793,10.821,9,9,10,11,11,11,-3.944,14,7,10.92447,0.066368,0,0.89431,0.89431,195,257.885,62.88499999999999,,0,1,54,108,54,54,62
4,5,complete,120,59,60,4.202,918.333,0.519,9,9,11,12,16,9,8.374,4,2,10.92452,0.067999,-0.787971,0.161241,0.949212,164.661,195,30.339,,0,1,84,168,84,91,85
4,6,complete,120,59,60,4.956,1754.612,4.805,35,35,35,37,39,37,1.422,16,8,10.92473,0.074697,-0.096577,0.216162,0.312739,166.808,195.999,29.191000000000003,,0,1,63,126,63,66,67
4,7,complete,119,58,60,4.74,1831.832,2.853,4,4,5,7,12,4,-13.103,4,2,10.89149,0.037533,0,0.316493,0.316493,195,237.675,42.67500000000001,,0,1,102,204,102,107,84
4,8,complete,120,59,60,5.508,2566.696,2.475,5,5,6,10,22,6,-24.468,6,3,10.92454,0.044692,0,0.547242,0.547242,195,220.215,25.215000000000003,,0,1,68,136,68,69,57
4,9,complete,120,59,60,5.038,2670.843,2.201,5,5,7,9,37,8,-32.675,8,4,10.92477,0.049276,0,0.596507,0.596507,195,229.617,34.61699999999999,,0,1,78,156,78,82,79
4,10,complete,121,60,60,6.51,5147.624,3.157,50,50,52,53,55,54,3.177,22,11,11.04206,0.01127,-0.03158,0.024993,0.056573,193.755,196.763,3.0080000000000098,,0,1,97,194,97,102,84
