run,piece,compound_mode,status,frame_count,landing_frame,post_land_frame_count,mass,inertia,com_offset_px,footprint_width_px,contact_points,contact_parts,landing_angle,landing_pre_vx,landing_pre_vy,landing_pre_angular_velocity,landing_vx,landing_vy,landing_angular_velocity,landing_delta_vx,landing_delta_vy,landing_delta_angular_velocity,max_post_land_abs_vx,max_post_land_abs_vy,max_post_land_abs_angular_velocity,post_land_x_range,post_land_y_range,post_land_angle_range,max_bounce_height_px,sleep_frame,final_sleeping,final_ground_contact,physics_parts,triangles,regions,raw_regions,contour_vertices,landing_contact_left_offset_px,landing_contact_right_offset_px,landing_contact_normal_angle_rad,landing_contact_torque_proxy,landing_contact_parts_detail,landing_contact_offsets_xy_px,landing_contact_torque_proxies,narrow_landing_correction_latched,narrow_landing_contact_width_latched_px,narrow_landing_contact_source_latched,narrow_landing_contact_offset_latched_px,narrow_landing_angular_before_latched,narrow_landing_angular_delta_latched,narrow_landing_angular_after_latched,narrow_landing_correction_applied_latched,first_ground_contact_substep,first_ground_contact_vx_before,first_ground_contact_vx_after,first_ground_contact_delta_vx,first_ground_contact_vy_before,first_ground_contact_vy_after,first_ground_contact_delta_vy,first_ground_contact_angular_before,first_ground_contact_angular_after,first_ground_contact_delta_angular,first_ground_contact_delta_x,first_ground_contact_delta_y,first_ground_contact_width_px,first_ground_contact_offset_px,first_ground_contact_source,max_ground_delta_vx,max_ground_delta_vx_before,max_ground_delta_vx_after,max_ground_delta_vy,max_ground_delta_angular,max_ground_delta_vx_substep,max_ground_delta_vx_contact_width_px,max_ground_delta_vx_contact_offset_px,max_ground_delta_vx_contact_source,first_ground_response_normal_x,first_ground_response_normal_y,first_ground_response_normal_angle_rad,first_ground_response_tangent_x,first_ground_response_tangent_y,first_ground_response_depth,first_ground_response_separation,first_ground_response_friction,first_ground_response_friction_static,first_ground_response_delta_vn,first_ground_response_delta_vt,first_ground_response_linear_impulse_normal_proxy,first_ground_response_linear_impulse_tangent_proxy,first_ground_response_angular_impulse_proxy,first_ground_response_pair_count,first_ground_response_contact_count,first_ground_response_support_count,first_ground_response_pair_id,max_ground_response_normal_x,max_ground_response_normal_y,max_ground_response_normal_angle_rad,max_ground_response_tangent_x,max_ground_response_tangent_y,max_ground_response_depth,max_ground_response_separation,max_ground_response_friction,max_ground_response_friction_static,max_ground_response_delta_vn,max_ground_response_delta_vt,max_ground_response_linear_impulse_normal_proxy,max_ground_response_linear_impulse_tangent_proxy,max_ground_response_angular_impulse_proxy,max_ground_response_pair_count,max_ground_response_contact_count,max_ground_response_support_count,max_ground_response_pair_id
3,36,intermediate,complete,120,59,60,4.756,2213.019,1.122,5,2,1,0.023153,0,10.97541,0,0.16261,3.07468,0,0.16261,-7.90073,0.120835,1.66124,3.07468,0.084626,26.768,20.502999999999986,1.057322,0,,0,1,63,126,63,63,48,-21.945,-18.946,1.570796,-20.445383,13562;13562,-18.946:39.580;-21.945:39.511,-18.945785;-21.944981,0.625000,3.000,geometry-edge,19.524,0.000000,0.258183,0.096819,1,239,0.000000,0.077735,0.077735,11.029625,4.690750,-6.338875,0.000000,0.096819,0.096819,0.000000,1.947518,3.000,19.524,geometry-edge,1.043677,0.162606,1.206283,0.024562,0.014052,249,3.110,24.842,geometry-edge,0.000000,1.000000,1.570796,-1.000000,0.000000,0.730063,,0.350000,1.000000,-6.338875,-0.077735,-30.147691,-0.369709,214.261641,1,2,2,agn:agq,0.000000,1.000000,1.570796,-1.000000,0.000000,0.036266,,0.350000,1.000000,0.024562,-1.043677,0.116815,-4.963728,31.097341,1,1,2,agn:agq
3,37,intermediate,complete,120,59,60,3.776,957.905,2.374,13,2,1,-0.092415,0,10.9686,0,0,3.35398,0,-0.43961,-7.61463,-0.371013,2.30177,4.02248,0.365369,81.576,17.114000000000033,4.665565,0,,0,1,71,142,71,83,62,13.276,16.263,1.570796,14.769787,13638;13638,13.276:41.069;16.263:40.792,13.276188;16.263386,0.700000,1.950,geometry-edge,20.070,-0.186329,0.146778,-0.142295,1,239,0.000000,-0.353823,-0.353823,11.022865,3.299186,-7.723679,0.000000,-0.386455,-0.386455,0.000000,1.251268,14.000,15.430,geometry-edge,-0.821554,-0.415426,-1.236980,-5.662218,0.149795,256,6.996,4.277,geometry-edge,0.000000,1.000000,1.570796,-1.000000,0.000000,2.174696,,0.350000,1.000000,-7.723679,0.353823,-29.164612,1.336037,-370.187515,4,8,8,aig:aij,0.000000,1.000000,1.570796,-1.000000,0.000000,0.914187,,0.350000,1.000000,-5.662218,0.821554,-21.380536,3.102188,143.489011,5,10,10,aig:ais
