run,piece,event_index,start_substep,end_substep,duration_substeps,part_ids,start_x,end_x,delta_x,start_y,end_y,delta_y,start_angle,end_angle,delta_angle,start_vx,end_vx,delta_vx,start_vy,end_vy,delta_vy,start_angular_velocity,end_angular_velocity,delta_angular_velocity,min_contact_width_px,max_contact_width_px,max_contact_offset_px,max_abs_delta_vx,max_delta_vx_substep,max_delta_vx_width_px,max_delta_vx_offset_px,max_delta_vn,max_delta_vt,max_abs_delta_angular,max_delta_angular_substep,max_abs_delta_vt,sum_abs_delta_vx
2,26,1,242,243,2,7463;7464,195.000,195.048,0.048,484.059,484.810,0.751,0.000000,0.084702,0.084702,0.188711,0.283740,0.095030,3.786737,3.843086,0.056349,0.333442,0.320142,-0.013300,4.070,11.000,18.078,0.188711,242,11.000,16.504,-7.278252,-0.188711,0.333442,242,0.188711,0.283740
2,26,2,247,248,2,7452;7454;7456,195.335,195.533,0.198,487.887,487.571,-0.316,0.408137,0.442972,0.034835,0.781280,1.302020,0.520740,-1.270287,-1.194595,0.075692,0.137134,0.075877,-0.061257,3.568,4.862,4.500,0.520740,248,3.568,2.702,0.075692,-0.520740,0.179348,247,0.520740,1.021523
2,26,3,302,488,187,7450;7452;7425;7427;7428;7399,211.380,219.839,8.459,496.954,501.908,4.954,1.366495,1.671981,0.305486,1.197105,0.000000,-1.197105,1.944088,0.000000,-1.944088,0.069671,0.000000,-0.069671,0.986,42.189,27.203,0.344394,318,42.189,8.619,-0.110325,0.344394,0.092629,317,0.344394,3.333176
2,27,1,239,480,242,7532;7516,195.000,182.269,-12.731,480.810,486.928,6.118,0.000000,-0.356669,-0.356669,-0.116888,0.000000,0.116888,1.771096,0.000000,-1.771096,-0.097958,0.000000,0.097958,1.000,47.167,23.933,0.982384,245,1.078,13.976,-0.002031,0.982384,0.097958,239,0.982384,5.169087
2,28,1,242,243,2,7625;7626,195.000,195.058,0.058,481.461,481.656,0.194,0.000000,0.065636,0.065636,0.226857,0.325424,0.098567,2.950046,2.934943,-0.015103,0.258386,0.242182,-0.016204,2.061,3.000,12.846,0.226857,242,3.000,9.773,-8.088000,-0.226857,0.258386,242,0.226857,0.325424
2,28,2,245,248,4,7623,195.218,195.627,0.409,483.117,482.555,-0.562,0.184849,0.235303,0.050454,0.397278,0.823467,0.426189,-0.393675,-0.462808,-0.069132,0.101077,0.026606,-0.074470,2.150,2.178,11.072,0.174737,247,2.173,9.564,0.068827,-0.174737,0.140179,245,0.174737,0.499288
2,28,3,253,488,236,7623,196.665,235.992,39.326,482.246,494.476,12.230,0.268839,1.329955,1.061115,0.807838,1.582428,0.774590,-0.172999,1.762679,1.935678,0.023001,0.059590,0.036589,1.448,2.236,29.338,0.053783,422,2.146,10.550,0.008183,-0.053783,0.008680,323,0.053783,2.561987
2,29,1,242,244,3,7711,195.000,194.866,-0.134,482.000,482.747,0.746,0.000000,-0.079402,-0.079402,-0.130104,-0.672685,-0.542581,1.754094,1.338286,-0.415809,-0.166103,-0.131602,0.034501,2.000,2.073,11.886,0.274439,244,2.073,11.886,-0.089007,0.274439,0.166103,242,0.274439,0.672685
2,29,2,253,255,3,7708,193.390,192.938,-0.452,486.431,487.268,0.837,-0.368108,-0.427084,-0.058977,-0.772161,-1.348757,-0.576597,1.661323,1.334775,-0.326549,-0.124444,-0.101344,0.023100,1.293,1.324,15.455,0.342712,255,1.324,15.455,-0.223329,0.342712,0.016718,254,0.342712,0.695794
2,29,3,265,484,220,7692;7691;7674;7681;7671;7656;7653;7633,189.648,145.981,-43.667,491.403,493.893,2.490,-0.674304,-2.177095,-1.502791,-1.476689,-0.180451,1.296238,0.298038,0.046722,-0.251315,-0.096969,-0.006480,0.090489,0.624,33.833,25.209,0.274556,286,25.898,1.136,-1.260190,-0.274556,0.027394,418,0.274556,5.349470
2,30,1,238,239,2,7773;7774,195.000,194.942,-0.058,478.791,478.547,-0.244,0.000000,-0.040953,-0.040953,-0.241634,-0.486212,-0.244578,0.285247,0.350886,0.065640,-0.171255,-0.134435,0.036821,5.037,11.000,9.610,0.244578,239,5.037,9.610,0.065640,0.244578,0.171255,238,0.244578,0.486212
2,30,2,287,528,242,7754;7753;7739;7740;7741;7742;7743;7744,189.614,189.698,0.085,501.665,502.425,0.760,-1.514295,-1.567916,-0.053621,-0.503618,-0.000000,0.503618,2.130229,0.000000,-2.130229,-0.138764,0.000000,0.138764,0.993,28.000,12.920,0.292548,288,5.998,10.296,-0.402832,0.292548,0.107731,289,0.292548,3.654603
