run,piece,status,frame_count,landing_frame,post_land_frame_count,mass,inertia,com_offset_px,footprint_width_px,contact_width_px,contact_center_offset_px,contact_points,contact_parts,landing_vx,landing_vy,landing_angular_velocity,landing_delta_vx,landing_delta_vy,landing_delta_angular_velocity,max_post_land_abs_vx,max_post_land_abs_vy,max_post_land_abs_angular_velocity,post_land_x_range,post_land_y_range,post_land_angle_range,max_bounce_height_px,sleep_frame,final_sleeping,final_ground_contact,physics_parts,triangles,regions,raw_regions,contour_vertices
2,31,complete,133,72,60,3.292,592.235,0.868,7,0,24.538,1,1,0.40362,-0.43381,0.015928,-0.0312,-0.18932,-0.062796,0.9622,0.55258,0.052229,12.607,4.552000000000021,0.6406939999999999,0.5450000000000159,,0,1,58,116,58,65,67
2,32,complete,122,61,60,2.092,204.507,2.907,1,0,3.817,1,1,-0.43476,0.97463,-0.244214,-0.24612,-0.48111,0.064527,1.52491,2.29597,0.244214,13.302999999999997,20.144000000000005,1.3985309999999997,0,,0,1,65,130,65,69,61
2,33,complete,126,65,60,4.174,3360.447,4.337,18,0,1.491,1,1,1.74485,-0.22161,0.099715,0.72567,-1.79115,-0.03296,2.13368,1.15929,0.099715,25.14099999999999,8.61099999999999,0.943115,8.006000000000029,,0,1,60,120,60,61,58
2,34,complete,121,60,60,5.678,3952.389,3.007,18,0,-17.849,1,1,0,3.11026,0,0.46272,-7.89872,0.173008,2.64443,3.11026,0.084279,40.548,6.807000000000016,1.310003,0,,0,1,74,148,74,79,73
2,35,complete,125,64,60,3.648,4219.988,2.161,14,0,8.073,1,1,-0.70995,0.33658,-0.041692,0.00014,-0.06472,-0.001503,0.71225,0.64724,0.042655,5.537000000000006,2.6229999999999905,0.324524,2.0219999999999914,,0,1,38,76,38,38,48
2,36,complete,124,63,60,4.756,2213.019,1.122,5,0,14.879,1,1,0.247,-0.69005,0.040354,0.13002,-5.93876,-0.204312,0.77784,0.69005,0.040354,6.820999999999998,4.074000000000012,0.32406900000000005,1.8450000000000273,,0,1,63,126,63,63,48
2,37,complete,126,65,60,3.776,957.905,2.374,13,4.084,-9.625,5,3,-0.47106,-0.38085,-0.04822,0.52688,-4.00354,0.148915,0.80377,0.38085,0.04822,6.063000000000017,2.7829999999999586,0.3020290000000001,1.4110000000000014,,0,1,71,142,71,83,62
