run,piece,status,frame_count,landing_frame,post_land_frame_count,mass,inertia,com_offset_px,footprint_width_px,contact_width_px,contact_center_offset_px,contact_points,contact_parts,landing_vx,landing_vy,landing_angular_velocity,landing_delta_vx,landing_delta_vy,landing_delta_angular_velocity,max_post_land_abs_vx,max_post_land_abs_vy,max_post_land_abs_angular_velocity,post_land_x_range,post_land_y_range,post_land_angle_range,max_bounce_height_px,sleep_frame,final_sleeping,final_ground_contact,physics_parts,triangles,regions,raw_regions,contour_vertices
2,1,complete,126,65,60,4.348,1775.255,7.415,3,1,-2.225,2,1,0.92989,0.03249,0.017232,-0.03124,-0.69047,0.006409,1.40816,0.53721,0.031231,31.164000000000016,4.769999999999982,0.666968,0,,0,1,88,176,88,91,83
2,2,complete,120,59,60,4.144,971.803,3.723,6,3,-1.094,2,1,0.20439,0,0.010456,0.20439,-10.89966,0.010456,2.1435,1.64358,0.086512,46.67699999999999,20.40100000000001,1.31607,0.0010000000000331966,,0,1,83,166,83,90,76
2,3,complete,121,60,60,6.218,2680.781,8.535,8,7,15.787,2,1,0,0,0.014891,-1.01841,-11.43755,0.014891,0.7928,0.29797,0.022825,4.312999999999988,0.7420000000000186,0.053811,0.23600000000004684,,0,1,89,178,89,93,68
2,4,complete,120,59,60,2.636,378.793,10.821,9,9,-2.944,4,2,0,0,0,1.23988,-11.30354,-0.204797,1.57811,3.64507,0.116797,18.080000000000013,35.375,1.754032,2.322999999999979,,0,1,54,108,54,54,62
2,5,complete,121,60,60,4.202,918.333,0.519,9,0,7.776,1,1,0,0.51622,0,-1.28664,-10.49288,-0.061235,1.87012,1.33668,0.078111,66.60800000000002,18.295999999999992,1.951398,0,,0,1,84,168,84,91,85
2,6,complete,126,65,60,4.956,1754.612,4.805,35,0,-7.036,1,1,-0.30624,-0.37273,-0.049003,0.31709,-0.92745,-0.014105,1.62434,1.25089,0.049003,49.228999999999985,12.557000000000016,1.232451,0.549000000000035,,0,1,63,126,63,66,67
2,7,complete,122,61,60,4.74,1831.832,2.853,4,0,14.919,1,1,0.85391,-0.70306,0.034976,0.10691,-3.26153,-0.150245,1.02444,0.70306,0.034976,15.801999999999992,3.1549999999999727,0.301445,2.3530000000000086,,0,1,102,204,102,107,84
2,8,complete,123,62,60,5.508,2566.696,2.475,5,3.605,9.208,3,3,0.34604,-0.23746,0.010794,0.24393,-6.78966,-0.234988,0.49672,0.2427,0.020616,4.2660000000000196,1.1610000000000014,0.173701,0.46599999999995134,,0,1,68,136,68,69,57
2,9,complete,140,79,60,5.038,2670.843,2.201,5,0,13.128,1,1,0.65784,-0.21856,0.014967,0.12381,-1.7543,-0.067819,1.10175,0.72367,0.032895,15.461000000000013,5.377999999999986,0.42790300000000014,0.9979999999999905,,0,1,78,156,78,82,79
2,10,complete,121,60,60,6.51,5147.624,3.157,50,7.999,22.764,2,1,0,0,0,0.80954,-11.94966,0.023055,0.84399,0.64228,0.026998,7.36699999999999,3.910000000000025,0.22777199999999997,3.1000000000000227,,0,1,97,194,97,102,84
