run,piece,event_index,start_substep,end_substep,duration_substeps,part_ids,start_x,end_x,delta_x,start_y,end_y,delta_y,start_angle,end_angle,delta_angle,start_vx,end_vx,delta_vx,start_vy,end_vy,delta_vy,start_angular_velocity,end_angular_velocity,delta_angular_velocity,min_contact_width_px,max_contact_width_px,max_contact_offset_px,max_abs_delta_vx,max_delta_vx_substep,max_delta_vx_width_px,max_delta_vx_offset_px,max_delta_vn,max_delta_vt,max_abs_delta_angular,max_delta_angular_substep,max_abs_delta_vt,sum_abs_delta_vx
1,26,1,242,243,2,1984;1985;1986,195.000,195.073,0.073,484.559,484.738,0.179,0.000000,0.081235,0.081235,0.286692,0.371999,0.085307,3.466901,3.524474,0.057572,0.319791,0.307743,-0.012048,4.068,14.000,17.954,0.286692,242,14.000,17.004,-7.604800,-0.286692,0.319791,242,0.286692,0.371999
1,26,2,247,247,1,1976;1978,195.432,195.432,0.000,487.827,487.827,0.000,0.378551,0.378551,0.000000,0.663488,0.663488,0.000000,-1.219266,-1.219266,0.000000,0.162555,0.162555,0.000000,3.527,3.527,4.807,0.295575,247,3.527,4.807,-4.908443,-0.295575,0.141808,247,0.295575,0.295575
1,26,3,292,532,241,1915;1919;1921;1947;1949;1950,202.303,192.931,-9.372,491.989,501.886,9.898,2.062001,1.674100,-0.387901,0.379976,0.000000,-0.379976,0.110350,-0.000000,-0.110350,-0.004503,0.000000,0.004503,0.882,42.190,27.207,0.182206,292,11.114,21.408,-1.684115,0.182206,0.142238,292,0.182206,3.644135
1,27,1,239,480,242,2054;2038,195.000,181.854,-13.146,480.812,486.925,6.114,0.000000,-0.355479,-0.355479,-0.131956,-0.000001,0.131955,1.764132,0.000000,-1.764132,-0.097391,-0.000000,0.097391,1.000,47.167,23.913,1.061034,245,1.076,13.888,0.001364,1.061034,0.097391,239,1.061034,5.273134
1,28,1,242,243,2,2148,195.000,195.022,0.022,480.960,481.578,0.619,0.000000,0.059208,0.059208,0.092268,0.181597,0.089329,3.476173,3.044272,-0.431901,0.247590,0.257372,0.009782,2.000,2.056,12.596,0.092268,242,2.000,10.273,-7.553446,-0.092268,0.247590,242,0.092268,0.181597
1,28,2,245,248,4,2145,195.111,195.483,0.372,483.106,482.498,-0.607,0.185898,0.241220,0.055322,0.286358,0.745010,0.458653,-0.457196,-0.446135,0.011061,0.105713,0.029148,-0.076565,2.150,2.181,11.033,0.218918,246,2.166,10.029,-0.134855,-0.218918,0.150732,245,0.218918,0.564066
1,28,3,252,488,237,2145,196.236,226.928,30.692,482.230,486.577,4.347,0.270668,1.012923,0.742255,0.774200,1.343218,0.569018,-0.157636,0.764580,0.922216,0.020789,0.037224,0.016436,1.907,2.236,19.939,0.037706,252,2.195,7.840,0.071711,-0.037706,0.008026,252,0.037706,2.161717
1,29,1,242,244,3,2230;2231;2232;2233,195.000,194.343,-0.657,483.250,481.576,-1.674,0.000000,0.047527,0.047527,-1.011149,-1.802676,-0.791528,-0.820220,-1.228324,-0.408105,0.074613,0.134977,0.060364,2.045,12.000,8.636,1.011149,242,12.000,5.858,-11.878490,1.011149,0.074613,242,1.011149,1.802676
1,29,2,309,484,176,2176;2151,168.450,167.667,-0.783,496.495,496.630,0.135,1.986279,2.059133,0.072854,-1.231287,-0.000000,1.231287,0.104702,0.000000,-0.104702,0.101586,0.000000,-0.101586,0.886,37.118,14.878,0.375152,311,0.896,2.569,-0.021069,-0.375152,0.025677,311,0.375152,1.418956
1,30,1,237,238,2,2296,195.000,194.968,-0.032,478.293,478.702,0.409,0.000000,-0.061303,-0.061303,-0.126609,-0.270630,-0.144020,1.468905,1.534120,0.065215,-0.241327,-0.219856,0.021471,5.000,5.052,10.460,0.144020,238,5.052,10.460,0.065215,0.144020,0.241327,237,0.144020,0.270630
1,30,2,272,275,4,2258;2260;2261;2262;2263;2264;2265;2266,192.815,192.315,-0.500,500.249,499.778,-0.471,-1.810425,-1.787661,0.022764,-0.215031,-1.215841,-1.000810,-0.082816,0.117356,0.200172,-0.004680,0.071369,0.076049,0.977,10.189,9.440,0.581995,273,3.885,7.475,0.066965,0.581995,0.189584,272,0.581995,1.024906
1,30,3,290,512,223,2275;2276;2261;2262;2263;2264;2265;2266,187.890,186.663,-1.227,501.862,502.416,0.554,-1.527918,-1.570059,-0.042141,-0.903468,0.000000,0.903468,-0.034854,0.000000,0.034854,0.008508,0.000000,-0.008508,0.999,28.000,12.633,0.291188,291,5.994,9.884,0.070967,-0.291188,0.059209,290,0.291188,1.849992
